City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Baberu,IN,2020-02-20 21:35:38,25.55,80.72,66.6,39,31,7.67
262,Shellbrook,CA,2020-02-20 21:35:38,53.22,-106.4,24.8,58,20,11.41
263,Svetlaya,RU,2020-02-20 21:35:38,46.54,138.33,13.05,68,0,8.63
264,Fortuna,US,2020-02-20 21:35:39,40.6,-124.16,61.0,66,1,8.05
265,Klaksvik,FO,2020-02-20 21:35:39,62.23,-6.59,41.0,80,95,29.97
266,Batagay,RU,2020-02-20 21:35:39,67.63,134.63,-12.91,85,100,5.21
267,Aksha,RU,2020-02-20 21:35:39,50.28,113.29,3.92,89,100,4.88
268,Raymond,US,2020-02-20 21:35:40,43.9,-70.47,27.0,41,1,11.41
269,Nantucket,US,2020-02-20 21:35:40,41.28,-70.1,33.01,42,40,9.17
270,Puerto Del Rosario,ES,2020-02-20 21:35:40,28.5,-13.86,64.4,72,20,12.75
271,Chara,RU,2020-02-20 21:35:40,56.91,118.26,-9.04,86,100,0.65
272,Shimoda,JP,2020-02-20 21:35:41,34.67,138.95,45.0,83,54,1.99
273,Sorland,NO,2020-02-20 21:35:41,67.67,12.69,33.8,86,75,10.29
274,Cedar City,US,2020-02-20 21:35:07,37.68,-113.06,42.8,24,1,4.7
275,Praia,CV,2020-02-20 21:35:41,14.92,-23.51,67.98,84,46,14.52
276,Tari,NG,2020-02-20 21:32:10,12.41,4.49,78.17,14,0,10.33
277,Sangar,RU,2020-02-20 21:35:42,63.92,127.47,-12.42,95,100,14.38
278,Lorengau,PG,2020-02-20 21:35:42,-2.02,147.27,82.9,76,100,12.26
279,Vardo,NO,2020-02-20 21:35:42,70.37,31.11,23.0,67,75,16.11
280,Nanortalik,GL,2020-02-20 21:35:42,60.14,-45.24,26.02,71,100,6.02
281,Punjai Puliyampatti,IN,2020-02-20 21:35:43,11.35,77.2,71.6,64,0,5.82
282,Hofn,IS,2020-02-20 21:35:43,64.25,-15.21,41.27,53,0,13.56
